symbol,price,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,premium
PCG,15.02,20.35714,,,0.6449417055131338,94.17051986708617,1.0468797656250002,0.9417051986708618,13.0,2.3
PSKY,13.72,,,,0.5342421930795871,92.12109653979357,2.2500043749999996,0.9212109653979357,10.5,3.3
CAG,19.17,21.41667,,,0.46680053162997737,60.350743037699964,0.4023497265625,0.6035074303769996,19.0,0.38
WBD,11.85,14.68571,,,0.44945891440784647,13.834393912783982,2.468753828125,0.13834393912783982,15.5,0.01
KEY,18.04,21.16818,,,0.446440999378677,53.45882133567997,0.3437565625,0.5345882133567997,18.0,0.31
AMCR,8.73,11.04,,,0.444737272916794,7.677914808912474,0.5273484765625001,0.07677914808912474,11.0,0.03
VTRS,10.61,11.42857,,,0.38497985989433137,15.291216027514393,0.45313046875,0.15291216027514393,13.0,0.05
DOC,17.31,22.46875,,,0.37881357400796645,6.4209635773150975,0.31641308593749995,0.06420963577315097,20.0,0.04
AES,13.31,13.83333,,,0.3741669177924975,6.185675274911407,0.8359391406249999,0.06185675274911407,15.0,0.15
HBAN,16.57,19.17,,,0.3510171913632085,9.392634694598389,0.33789724609375,0.0939263469459839,20.0,0.05
F,11.44,10.79045,,,0.3335564987358081,0.2950762909809686,0.6562534375000001,0.002950762909809686,13.5,0.01
WBA,11.96,11.92727,,,0.31415512268659884,1.2368671543362082,0.4062559375,0.012368671543362082,13.0,0.03
