symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,expiration_date,premium
MGM,35.92,3592.0,47.63889,,,0.6067740323846766,82.28056088149124,0.971689970703125,0.8228056088149124,29.0,2025-12-19,9.9
WY,25.84,2584.0,33.08333,,,0.6000722599878585,82.98893572148343,1.0,0.8298893572148343,20.0,2025-10-17,5.98
HAL,21.12,2112.0,26.54167,,,0.5994754895592234,86.2315658023389,1.0,0.862315658023389,15.0,2025-12-19,6.9
KEY,18.04,1804.0,21.16818,,,0.5789635634316728,88.47141586217784,1.0,0.8847141586217784,13.0,2025-09-19,3.71
HBAN,16.57,1657.0,19.17,,,0.5743299502286663,88.62846334607728,1.0,0.8862846334607728,10.0,2025-10-17,6.0
BKR,42.8,4280.0,50.09524,,,0.5674283053079527,83.14672274743435,1.0,0.8314672274743435,33.0,2025-11-21,8.1
CZR,25.33,2533.0,41.47059,,,0.5633432719515865,11.089776520601745,1.0,0.11089776520601746,75.0,2026-01-16,0.14
KMI,26.67,2667.0,31.06722,,,0.5564127723897194,78.47511510374612,1.0,0.7847511510374612,21.0,2025-12-19,6.34
MET,77.33,7733.0,92.07143,,,0.5529518134192644,72.88138323879294,1.0,0.7288138323879294,67.5,2025-12-19,9.4
KDP,34.78,3478.0,38.6,,,0.5522125322049334,84.63128047854487,1.0,0.8463128047854487,28.0,2025-10-17,7.0
HRL,28.48,2848.0,32.44444,,,0.5473828613842591,77.81130428763512,1.0,0.7781130428763512,23.0,2026-01-16,7.75
SW,42.69,4269.0,56.02857,,,0.5451939451957919,69.08738466472221,0.8164180859375,0.6908738466472221,40.0,2025-10-17,6.4
RF,25.6,2560.0,28.42045,,,0.5432610282568593,88.50179342530463,0.9160264648437502,0.8850179342530462,20.0,2025-11-21,5.9
GEN,31.47,3147.0,33.719,,,0.538248861926611,83.40469788418254,1.0,0.8340469788418253,23.0,2026-01-16,7.0
IP,46.6,4660.0,54.15833,,,0.5380558109181977,69.69851704708165,1.0,0.6969851704708165,42.5,2025-10-17,4.8
CHTR,267.8,26780.0,400.78946,,,0.5375866184251992,19.303320414989383,1.0,0.19303320414989383,530.0,2026-01-16,8.8
VZ,44.24,4424.0,48.73938,,,0.5372173731651003,89.68011511866003,0.8867298828125,0.8968011511866003,36.0,2025-10-17,5.63
HOLX,67.81,6781.0,73.4,,,0.5372054077051774,81.23727102557206,1.0,0.8123727102557206,57.5,2025-10-17,8.0
PPL,36.55,3654.9999999999995,38.23077,,,0.5353518310074834,85.7780906063409,1.0,0.857780906063409,28.0,2025-10-17,7.3
ORLY,101.54,10154.0,106.86364,,,0.5317484621922322,83.00988207110127,1.0,0.8300988207110127,84.67,2025-09-19,8.92
