symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,premium
CZR,25.33,2533,41.47059,,,0.713803632,86.31995663,1,0.863199566,18,12.6
MSTR,366.32,36632,569.8333,,,0.69662823,89.97988537,1,0.899798854,182,195.59
TEAM,167,16700,259.37857,,,0.691559063,87.80476781,1,0.878047678,95,140.45
CHTR,267.8,26780,400.78946,,,0.678154032,89.58702734,1,0.895870273,190,219.85
CRM,242.44,24244,347.811,,,0.659954377,89.78311965,1,0.897831196,110,151.8
LULU,198.46,19846,283.783,,,0.654044262,87.53331705,1,0.87533317,130,121.7
EXE,95.13,9513,134.37038,,,0.645360863,85.80660625,1,0.858066063,60,55.75
NOW,867.24,86724,1149.0962,,,0.6254043,88.95159627,1,0.889515963,420,449.6
CMG,44.04,4404,58.25806,,,0.621029755,87.08824275,1,0.870882427,34.6,27.9
MGM,35.92,3592,47.63889,,,0.616926664,84.52587352,1,0.845258735,23,10.67
FANG,140.22,14022,182.5,,,0.616867184,88.20466628,1,0.882046663,70.31,106.25
WDAY,226.09,22609,294.5827,,,0.610344122,84.73040058,1,0.847304006,135,139.08
DXCM,80.95,8095,102.08,,,0.607529736,89.61106928,1,0.896110693,40,42.18
AKAM,74.42,7442,95.41304,,,0.607159732,86.26656326,1,0.862665633,55,25.21
COO,73.26,7326,93.26667,,,0.604321231,86.19691773,1,0.861969177,50,23.15
CTSH,70,7000,87.63136,,,0.604218572,89.32780046,1,0.893278005,40,28.62
ACN,247.01,24701,326.68274,,,0.603578205,78.40680631,1,0.784068063,190,202.62
TRGP,163.19,16319,205.96906,,,0.601934006,86.64560467,1,0.866456047,95,112
WY,25.84,2584,33.08333,,,0.60007226,82.98893572,1,0.829889357,20,5.98
HAL,21.12,2112,26.54167,,,0.59947549,86.2315658,1,0.862315658,15,6.9
DDOG,127.25,12725,160.18642,,,0.599288312,85.81929965,1,0.858192997,82.5,39.25
CARR,65.4,6540,83.31136,,,0.598081602,82.95970031,1,0.829597003,42.5,28.1
CPRT,47.08,4708,58.625,,,0.598042286,87.23800782,1,0.872380078,30,19.2
FIS,70.83,7083,86.16667,,,0.593986575,89.51410471,1,0.895141047,42.5,36.9
SOLV,71.42,7142,86.71429,,,0.593953715,89.85499377,1,0.898549938,40,27.4
ISRG,480.26,48026,583.63776,,,0.593713271,89.56857497,1,0.89568575,220,339.95
AMAT,161.755,16175.5,195.87097,,,0.593004239,89.86541296,1,0.89865413,80,78.39
VRTX,392.79,39279,482.24,,,0.592802238,87.24164448,1,0.872416445,210,230
DD,73.08,7308,88.625,,,0.592274606,89.23048847,1,0.892304885,55,16.27
CAH,149.61,14961,180.46153,,,0.591522681,89.82938758,1,0.898293876,75,89.05
MOS,32.47,3247,39.74737,,,0.591008162,86.88518656,1,0.868851866,17.5,17.7
STZ,168.23,16823,204.78261,,,0.59016235,87.48953554,1,0.874895355,135,41.16
BSX,103.17,10317,124.14387,,,0.589096694,89.05420644,1,0.890542064,57.5,49
PANW,177.09,17709,212.11702,,,0.588492248,89.57729439,1,0.895772944,92.5,115.5
IRM,91.49,9149,114.4,,,0.58766942,81.27322804,1,0.81273228,62.5,44.05
MET,77.33,7733,92.07143,,,0.586999629,89.90529088,1,0.899052909,62.5,17.38
AMT,206.12,20612,249.21053,,,0.58671044,86.99688764,1,0.869968876,125,92.79
FCX,42.36,4236,50.32105,,,0.585133925,89.37627546,1,0.893762755,31,15.04
EQT,52.85,5285,63.44,,,0.584452772,87.1696218,1,0.871696218,28,29.6
HWM,171.25,17125,202.3405,,,0.583705754,89.62032243,1,0.896203224,80,92.1
GFS,33.07,3307,39.90579,,,0.581745718,84.86685657,1,0.848668566,22.5,19.5
MCHP,65.71,6571,76.91667,,,0.580538507,89.68714278,1,0.896871428,37.5,23.65
GEHC,73.4,7340,88.003,,,0.579994783,85.15474839,1,0.851547484,55,21.35
COF,215.43,21543,252.7619,,,0.579480446,88.74669861,1,0.887466986,140,58.39
KEY,18.04,1804,21.16818,,,0.578963563,88.47141586,1,0.884714159,13,3.71
PYPL,69.23,6923,83.05152,,,0.578954511,84.53029587,1,0.845302959,42.5,31.3
NRG,148.62,14862,173.05556,,,0.57860578,89.64043527,1,0.896404353,90,67.6
BXP,65.44,6544,76.27778,,,0.578088319,89.20205965,1,0.892020596,40,22.8
AXON,754.24,75424,873.67334,,,0.57705725,89.77623697,1,0.89776237,340,396
WAB,189.16,18916,228.22221,,,0.576374125,82.21153137,1,0.822115314,130,62.67
