symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,expiration_date,premium
CZR,25.33,2533.0,41.47059,,,0.7138036321647756,86.31995662719629,1.0,0.8631995662719629,18.0,2026-01-16,12.6
MSTR,366.32,36632.0,569.8333,,,0.6966282300114056,89.97988537041127,1.0,0.8997988537041126,182.0,2026-01-16,195.59
TEAM,167.0,16700.0,259.37857,,,0.6915590625734478,87.80476781366997,1.0,0.8780476781366997,95.0,2026-01-16,140.45
CHTR,267.8,26780.0,400.78946,,,0.6781540322707937,89.58702733778665,1.0,0.8958702733778665,190.0,2025-12-19,219.85
CRM,242.44,24244.0,347.811,,,0.6599543765685532,89.78311964873794,1.0,0.8978311964873793,110.0,2026-01-16,151.8
LULU,198.46,19846.0,283.783,,,0.6540442618264564,87.53331704645403,1.0,0.8753331704645403,130.0,2025-12-19,121.7
EXE,95.13,9513.0,134.37038,,,0.6453608630834646,85.80660625002615,1.0,0.8580660625002615,60.0,2026-01-16,55.75
NOW,867.24,86724.0,1149.0962,,,0.6254042995086754,88.95159627433216,1.0,0.8895159627433216,420.0,2026-01-16,449.6
CMG,44.04,4404.0,58.25806,,,0.6210297552471715,87.08824274620159,1.0,0.8708824274620159,34.6,2026-01-16,27.9
MGM,35.92,3592.0,47.63889,,,0.6169266635165547,84.52587351774274,1.0,0.8452587351774274,23.0,2026-01-16,10.67
FANG,140.22,14022.0,182.5,,,0.6168671844977154,88.20466627538742,1.0,0.8820466627538742,70.31,2026-01-16,106.25
WDAY,226.09,22609.0,294.5827,,,0.6103441219592194,84.73040057888434,1.0,0.8473040057888435,135.0,2026-01-16,139.08
DXCM,80.95,8095.0,102.08,,,0.6075297358434748,89.61106928060086,1.0,0.8961106928060086,40.0,2026-01-16,42.18
AKAM,74.42,7442.0,95.41304,,,0.6071597322779045,86.26656326338117,1.0,0.8626656326338117,55.0,2026-01-16,25.21
COO,73.26,7326.000000000001,93.26667,,,0.6043212310318817,86.19691772724305,1.0,0.8619691772724305,50.0,2025-11-21,23.15
CTSH,70.0,7000.0,87.63136,,,0.6042185723554601,89.32780046344433,1.0,0.8932780046344433,40.0,2026-01-16,28.62
ACN,247.01,24701.0,326.68274,,,0.6035782051396006,78.40680630649103,1.0,0.7840680630649104,190.0,2026-01-16,202.62
TRGP,163.19,16319.0,205.96906,,,0.601934006088471,86.64560467423729,1.0,0.866456046742373,95.0,2025-12-19,112.0
WY,25.84,2584.0,33.08333,,,0.6000722599878585,82.98893572148343,1.0,0.8298893572148343,20.0,2025-10-17,5.98
HAL,21.12,2112.0,26.54167,,,0.5994754895592234,86.2315658023389,1.0,0.862315658023389,15.0,2025-12-19,6.9
DDOG,127.25,12725.0,160.18642,,,0.5992883124703368,85.81929965363595,1.0,0.8581929965363595,82.5,2026-01-16,39.25
CARR,65.4,6540.000000000001,83.31136,,,0.5980816024471995,82.95970030616864,1.0,0.8295970030616864,42.5,2026-01-16,28.1
CPRT,47.08,4708.0,58.625,,,0.5980422858211007,87.23800782134055,1.0,0.8723800782134055,30.0,2026-01-16,19.2
FIS,70.83,7083.0,86.16667,,,0.5939865745143877,89.51410470742682,1.0,0.8951410470742682,42.5,2025-12-19,36.9
SOLV,71.42,7142.0,86.71429,,,0.5939537147944074,89.85499377356888,1.0,0.8985499377356888,40.0,2025-12-19,27.4
ISRG,480.26,48026.0,583.63776,,,0.5937132712156783,89.56857497401585,1.0,0.8956857497401585,220.0,2026-01-16,339.95
AMAT,161.755,16175.5,195.87097,,,0.5930042394121189,89.86541295820005,1.0,0.8986541295820005,80.0,2026-01-16,78.39
VRTX,392.79,39279.0,482.24,,,0.5928022380072515,87.2416444752518,1.0,0.872416444752518,210.0,2026-01-16,230.0
DD,73.08,7308.0,88.625,,,0.5922746058360439,89.23048846810401,1.0,0.8923048846810402,55.0,2025-09-19,16.27
CAH,149.61,14961.000000000002,180.46153,,,0.5915226813138208,89.82938757890754,1.0,0.8982938757890755,75.0,2026-01-16,89.05
MOS,32.47,3247.0,39.74737,,,0.5910081618495817,86.88518656076253,1.0,0.8688518656076254,17.5,2026-01-16,17.7
STZ,168.23,16823.0,204.78261,,,0.5901623499269113,87.48953554123602,1.0,0.8748953554123602,135.0,2025-10-17,41.16
BSX,103.17,10317.0,124.14387,,,0.5890966943604243,89.05420644162531,1.0,0.8905420644162532,57.5,2026-01-16,49.0
